name,price,href,capacity,price_per_gb,type,cache,form_factor,interface
Kingston Fury Renegade,94,https://pcpartpicker.com/product/QxkWGX/kingston-fury-renegade-1-tb-m2-2280-nvme-solid-state-drive-sfyrs1000g,1000,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,50.99,https://pcpartpicker.com/product/nXF48d/silicon-power-a55-1-tb-25-solid-state-drive-sp001tbss3a55s25,1000,0.051,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM790,264.99,https://pcpartpicker.com/product/cDJp99/lexar-nm790-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm790x004t-rnnng,4000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,219.97,https://pcpartpicker.com/product/2BvD4D/silicon-power-ud90-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp04kgbp44ud9005,4000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 5,729.99,https://pcpartpicker.com/product/mTxxFT/sabrent-rocket-5-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sb-rkt5-4tb,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate Exos X14,185.17,https://pcpartpicker.com/product/fmfhP6/seagate-exos-x14-12-tb-35-7200rpm-internal-hard-drive-st12000nm0008,12000,0.015,7200,256,3.5,SATA 6.0 Gb/s
Silicon Power P34A60,34.99,https://pcpartpicker.com/product/94gQzy/silicon-power-p34a60-512-gb-m2-2280-nvme-solid-state-drive-sp512gbp34a60m28,512,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro w/Heatsink,97.51,https://pcpartpicker.com/product/4PYmP6/samsung-980-pro-heatsink-1-tb-m2-2280-nvme-solid-state-drive-mz-v8p1t0cw,1000,0.098,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,62.99,https://pcpartpicker.com/product/LFZzK8/crucial-bx500-1-tb-25-solid-state-drive-ct1000bx500ssd1,1000,0.063,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Pro,569.99,https://pcpartpicker.com/product/PgWJ7P/western-digital-red-pro-24-tb-35-7200-rpm-internal-hard-drive-wd240kfgx,24000,0.024,7200,512,3.5,SATA 6.0 Gb/s
Patriot P300,14.99,https://pcpartpicker.com/product/k8n8TW/patriot-p300-128-gb-m2-2280-nvme-solid-state-drive-p300p128gm28,128,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,,https://pcpartpicker.com/product/yzfhP6/samsung-860-evo-1tb-25-solid-state-drive-mz-76e1t0bam,1000,,SSD,1024,2.5,SATA 6.0 Gb/s
Sabrent Rocket Q4,99.99,https://pcpartpicker.com/product/hQ4BD3/sabrent-rocket-q4-1-tb-m2-2280-nvme-solid-state-drive-sb-rktq4-1tb,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,139.99,https://pcpartpicker.com/product/dGHRsY/western-digital-wd_black-4-tb-35-7200rpm-internal-hard-drive-wd4005fzbx,4000,0.035,7200,256,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,54.99,https://pcpartpicker.com/product/BvGbt6/teamgroup-t-force-vulcan-z-1-tb-25-solid-state-drive-t253tz001t0c101,1000,0.055,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green SN350,57.9,https://pcpartpicker.com/product/zRnypg/western-digital-green-sn350-1-tb-m2-2280-nvme-solid-state-drive-wds100t3g0c,1000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C910,55.99,https://pcpartpicker.com/product/99RwrH/klevv-cras-c910-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-k01tbm2sp0-c91,1000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,104.9,https://pcpartpicker.com/product/BJBG3C/western-digital-green-sn350-2-tb-m2-2280-nvme-solid-state-drive-wds200t3g0c,2000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44,232.99,https://pcpartpicker.com/product/CVWJ7P/teamgroup-mp44-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8fpw004t0c101,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_Black SN850X w/Heatsink,149.99,https://pcpartpicker.com/product/sfwypg/western-digital-black-sn850x-with-heatsink-2-tb-m2-2280-nvme-solid-state-drive-wds200t2xhe,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
