name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
Intel Core i9-10900K,499,https://pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,AM4
AMD Ryzen 9 3950X,485.95,https://pcpartpicker.com/product/t7CFf7/amd-ryzen-9-3950x-35-ghz-16-core-processor-100-100000051wof,16,3.5,4.7,Zen 2,105,,LGA1700
Intel Core i3-14100F,104.97,https://pcpartpicker.com/product/R7qrxr/intel-core-i3-14100f-35-ghz-quad-core-processor-bx8071514100f,4,3.5,4.7,Raptor Lake Refresh,58,,LGA1151
Intel Core i7-7700,130,https://pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,sTRX4
AMD Threadripper 3960X,1070,https://pcpartpicker.com/product/kNyqqs/amd-ryzen-9-3960x-38-ghz-24-core-processor-100-100000010wof,24,3.8,4.5,Zen 2,280,,LGA1150
Intel Core i7-4790K,,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,4,4,4.4,Haswell Refresh,88,Intel HD Graphics 4600,LGA1700
Intel Core i7-13700F,335,https://pcpartpicker.com/product/xz8bt6/intel-core-i7-13700f-21-ghz-16-core-processor-bx8071513700f,16,2.1,5.2,Raptor Lake,65,,LGA1700
Intel Core i5-13500,243.99,https://pcpartpicker.com/product/mtmmP6/intel-core-i5-13500-25-ghz-14-core-processor-bx8071513500,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770,LGA1200
Intel Core i5-10600K,138.94,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,AM4
AMD Ryzen 5 1600 (12nm),120,https://pcpartpicker.com/product/8HqBD3/amd-ryzen-5-1600-12nm-32-ghz-6-core-processor-yd1600bbafbox,6,3.2,3.6,Zen+,65,,LGA1700
Intel Core i7-12700,269.03,https://pcpartpicker.com/product/XVRYcf/intel-core-i7-12700-21-ghz-12-core-processor-bx8071512700,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770,LGA1151
Intel Core i7-6700,120,https://pcpartpicker.com/product/7V7CmG/intel-cpu-bx80662i76700,4,3.4,4,Skylake,65,Intel HD Graphics 530,LGA1200
Intel Core i7-10700F,224,https://pcpartpicker.com/product/PCvqqs/intel-core-i7-10700f-29-ghz-8-core-processor-bx8070110700f,8,2.9,4.8,Comet Lake,65,,LGA1700
Intel Core i7-14700,379.99,https://pcpartpicker.com/product/7rXV3C/intel-core-i7-14700-21-ghz-20-core-processor-bx8071514700,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770,LGA1200
Intel Core i9-10850K,260,https://pcpartpicker.com/product/nGFKHx/intel-core-i9-10850k-36-ghz-10-core-processor-bx8070110850k,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,AM4
AMD Ryzen 7 2700,180,https://pcpartpicker.com/product/WPQG3C/amd-ryzen-7-2700-32ghz-8-core-processor-yd2700bbafbox,8,3.2,4.1,Zen+,65,,LGA1151
Intel Core i5-6600K,113,https://pcpartpicker.com/product/gx648d/intel-cpu-bx80662i56600k,4,3.5,3.9,Skylake,91,Intel HD Graphics 530,LGA1155
Intel Core i7-3770,79,https://pcpartpicker.com/product/Vjzv6h/intel-cpu-bx80637i73770,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,LGA1151
